distrito_id,seccionprovincial_id,seccion_id,circuito_id,mesa_id,cargo_id,agrupacion_id,agrupacion_nombre,lista_numero,lista_nombre,votos_tipo,votos_cantidad,eleccion_id
2,3,61,000630,880,7,,,,,COMANDO,0,13
2,3,61,000630,881,1,,,,,COMANDO,0,13
2,3,61,000630,881,3,,,,,COMANDO,0,13
2,3,61,000630,881,4,,,,,COMANDO,0,13
2,3,61,000630,881,5,,,,,COMANDO,0,13
2,3,61,000630,881,7,,,,,COMANDO,0,13
2,3,61,000630,882,1,,,,,COMANDO,0,13
2,3,61,000630,882,3,,,,,COMANDO,0,13
2,3,61,000630,882,4,,,,,COMANDO,0,13
2,3,61,000630,882,5,,,,,COMANDO,0,13
2,3,61,000630,882,7,,,,,COMANDO,0,13
2,3,61,000630,883,1,,,,,COMANDO,0,13
2,3,61,000630,883,3,,,,,COMANDO,0,13
2,3,61,000630,883,4,,,,,COMANDO,0,13
2,3,61,000630,883,5,,,,,COMANDO,0,13
2,3,61,000630,883,7,,,,,COMANDO,0,13
2,3,61,000630,884,1,,,,,COMANDO,0,13
2,3,61,000630,884,3,,,,,COMANDO,0,13
2,3,61,000630,884,4,,,,,COMANDO,0,13
2,3,61,000630,884,5,,,,,COMANDO,0,13
2,3,61,000630,884,7,,,,,COMANDO,0,13
2,3,61,000630,885,1,,,,,COMANDO,0,13
2,3,61,000630,885,3,,,,,COMANDO,0,13
2,3,61,000630,885,4,,,,,COMANDO,0,13
2,3,61,000630,885,5,,,,,COMANDO,0,13
2,3,61,000630,885,7,,,,,COMANDO,0,13
2,3,61,000630,886,1,,,,,COMANDO,0,13
2,3,61,000630,886,3,,,,,COMANDO,0,13
2,3,61,000630,886,4,,,,,COMANDO,0,13
2,3,61,000630,886,5,,,,,COMANDO,0,13
2,3,61,000630,886,7,,,,,COMANDO,0,13
2,3,61,000630,887,1,,,,,COMANDO,0,13
2,3,61,000630,887,3,,,,,COMANDO,0,13
2,3,61,000630,887,4,,,,,COMANDO,0,13
2,3,61,000630,887,5,,,,,COMANDO,0,13
2,3,61,000630,887,7,,,,,COMANDO,0,13
2,3,61,000630,888,1,,,,,COMANDO,0,13
2,3,61,000630,888,3,,,,,COMANDO,0,13
