cargo_id,cargo_nombre
3,Diputado Nacional
1,Presidente
4,Gobernador
6,Diputado Provincial
2,Senador Nacional
5,Senador Provincial
10,Concejales
9,Parlamentarios Mercosur Provinciales
8,Parlamentarios Mercosur Nacionales
7,Concejal
