,distrito_id,seccion_id,seccionprovincial_id,seccion_nombre,codprov,coddepto,IN1,NAM,counts,_merge
457,15,011,0.0,Catan Lil,15,011,58021.0,Catán Lil,8.0,both
407,15,005,0.0,Chos Malal,15,005,58042.0,Chos Malal,9.0,both
345,15,013,0.0,Collon Curá,15,013,58028.0,Collón Curá,6.0,both
277,15,001,0.0,Confluencia,15,001,58035.0,Confluencia,33.0,both
369,15,014,0.0,Huiliches,15,014,58049.0,Huiliches,6.0,both
476,15,008,0.0,Loncopué,15,008,58063.0,Loncopué,7.0,both
445,15,016,0.0,Los Lagos,15,016,58070.0,Los Lagos,5.0,both
379,15,015,0.0,Lácar,15,015,58056.0,Lácar,10.0,both
420,15,006,0.0,Minas,15,006,58077.0,Minas,9.0,both
310,15,004,0.0,Pehuenches,15,004,58091.0,Pehuenches,6.0,both
440,15,009,0.0,Picunches,15,009,58105.0,Picunches,6.0,both
481,15,012,0.0,Picún Leufú,15,012,58098.0,Picún Leufú,3.0,both
347,15,002,0.0,Zapala,15,002,58112.0,Zapala,11.0,both
428,15,007,0.0,Ñorquín,15,007,58084.0,Ñorquín,9.0,both
262,16,006,0.0,25 De Mayo,16,006,62091.0,25 de Mayo,7.0,both
304,16,001,0.0,Adolfo Alsina,16,001,62007.0,Adolfo Alsina,25.0,both
360,16,011,0.0,Avellaneda,16,011,62014.0,Avellaneda,8.0,both
315,16,009,0.0,Bariloche,16,009,62021.0,Bariloche,34.0,both
358,16,002,0.0,Conesa,16,002,62028.0,Conesa,1.0,both
480,16,013,0.0,El Cuy,16,013,62035.0,El Cuy,7.0,both
309,16,012,0.0,General Roca,16,012,62042.0,General Roca,51.0,both
494,16,005,0.0,Nueve De Julio,16,005,62049.0,9 de julio,2.0,both
438,16,010,0.0,Pichi Mahuida,16,010,62063.0,Pichi Mahuida,1.0,both
425,16,008,0.0,Pilcaniyeu,16,008,62070.0,Pilcaniyeu,6.0,both
344,16,003,0.0,San Antonio Oeste,16,003,62077.0,San Antonio,4.0,both
505,16,004,0.0,Valcheta,16,004,62084.0,Valcheta,1.0,both
452,16,007,0.0,Ñorquinco,16,007,62056.0,Ñorquinco,4.0,both
460,17,005,0.0,Anta,17,005,66007.0,Anta,22.0,both
512,17,020,0.0,Cachi,17,020,66014.0,Cachi,8.0,both
466,17,017,0.0,Cafayate,17,017,66021.0,Cafayate,7.0,both
152,17,001,0.0,Capital,17,001,66028.0,Capital,57.0,both
487,17,011,0.0,Cerrillos,17,011,66035.0,Cerrillos,13.0,both
138,17,012,0.0,Chicoana,17,012,66042.0,Chicoana,9.0,both
200,17,003,0.0,General Güemes,17,003,66049.0,General Güemes,8.0,both
149,17,014,0.0,Guachipas,17,014,66063.0,Guachipas,1.0,both
139,17,009,0.0,Iruya,17,009,66070.0,Iruya,15.0,both
495,17,002,0.0,La Caldera,17,002,66077.0,La Caldera,5.0,both
525,17,016,0.0,La Candelaria,17,016,66084.0,La Candelaria,4.0,both
511,17,022,0.0,La Poma,17,022,66091.0,La Poma,3.0,both
501,17,013,0.0,La Viña,17,013,66098.0,La Viña,3.0,both
478,17,023,0.0,Los Andes,17,023,66105.0,Los Andes,4.0,both
177,17,004,0.0,Metán,17,004,66112.0,Metán,13.0,both
122,17,019,0.0,Molinos,17,019,66119.0,Molinos,7.0,both
474,17,007,0.0,Orán,17,007,66126.0,Orán,20.0,both
530,17,006,0.0,Rivadavia,17,006,66133.0,Rivadavia,24.0,both
145,17,015,0.0,Rosario De La Frontera,17,015,66140.0,Rosario de la Frontera,17.0,both
130,17,021,0.0,Rosario De Lerma,17,021,66147.0,Rosario de Lerma,15.0,both
135,17,018,0.0,San Carlos,17,018,66154.0,San Carlos,10.0,both
169,17,008,0.0,San Martín,17,008,66056.0,General José de San Martín,25.0,both
516,17,010,0.0,Santa Victoria,17,010,66161.0,Santa Victoria,15.0,both
205,18,010,0.0,Albardón,,,,,,left_only
203,18,009,0.0,Angaco,,,,,,left_only
287,18,019,0.0,Calingasta,,,,,,left_only
147,18,001,0.0,Capital,,,,,,left_only
165,18,015,0.0,Caucete,,,,,,left_only
189,18,003,0.0,Chimbas,,,,,,left_only
384,18,018,0.0,Iglesia,,,,,,left_only
194,18,017,0.0,Jáchal,,,,,,left_only
12,18,012,0.0,Pocito,,,,,,left_only
176,18,006,0.0,Rawson,,,,,,left_only
153,18,004,0.0,Rivadavia,,,,,,left_only
179,18,008,0.0,San Martín,,,,,,left_only
157,18,002,0.0,Santa Lucía,,,,,,left_only
502,18,013,0.0,Sarmiento,,,,,,left_only
181,18,011,0.0,Ullúm,,,,,,left_only
518,18,016,0.0,Valle Fértil,,,,,,left_only
507,18,005,0.0,Zonda,,,,,,left_only
174,18,014,0.0,25 De Mayo,18,014,70014.0,Angaco,7.0,both
173,18,007,0.0,Nueve De Julio,18,007,70007.0,Albardón,7.0,both
156,19,007,0.0,Ayacucho,19,007,74007.0,Ayacucho,5.0,both
500,19,008,0.0,Belgrano,19,008,74014.0,Belgrano,4.0,both
166,19,004,0.0,Chacabuco,19,004,74028.0,Chacabuco,9.0,both
254,19,009,0.0,Gobernador Dupuy,19,009,74042.0,Gobernador Dupuy,9.0,both
158,19,006,0.0,Junín,19,006,74049.0,Junín,13.0,both
143,19,003,0.0,Pedernera,19,003,74035.0,General Pedernera,34.0,both
192,19,002,0.0,Pringles,19,002,74021.0,Coronel Pringles,13.0,both
168,19,001,0.0,Pueyrredon,19,001,74056.0,Juan Martín de Pueyrredón,39.0,both
430,19,005,0.0,San Martín,19,005,74063.0,Libertador General San Martín,7.0,both
183,20,005,0.0,Corpen Aike,20,005,78007.0,Corpen Aike,2.0,both
161,20,001,0.0,Deseado,20,001,78014.0,Deseado,9.0,both
196,20,007,0.0,Güer Aike,20,007,78021.0,Güer Aike,4.0,both
204,20,006,0.0,Lago Argentino,20,006,78028.0,Lago Argentino,3.0,both
184,20,002,0.0,Lago Buenos Aires,20,002,78035.0,Lago Buenos Aires,2.0,both
491,20,003,0.0,Magallanes,20,003,78042.0,Magallanes,1.0,both
195,20,004,0.0,Río Chico,20,004,78049.0,Río Chico,2.0,both
171,21,014,0.0,,,,,,,left_only
199,21,015,0.0,,,,,,,left_only
239,21,010,0.0,,,,,,,left_only
212,21,001,0.0,Belgrano,21,001,82007.0,Belgrano,6.0,both
219,21,002,0.0,Caseros,21,002,82014.0,Caseros,13.0,both
242,21,003,0.0,Castellanos,21,003,82021.0,Castellanos,49.0,both
251,21,004,0.0,Constitución,21,004,82028.0,Constitución,19.0,both
256,21,005,0.0,Garay,21,005,82035.0,Garay,9.0,both
175,21,006,0.0,General López,21,006,82042.0,General López,33.0,both
223,21,007,0.0,General Obligado,21,007,82049.0,General Obligado,45.0,both
243,21,008,0.0,Iriondo,21,008,82056.0,Iriondo,13.0,both
232,21,009,0.0,La Capital,21,009,82063.0,La Capital,43.0,both
245,21,011,0.0,Las Colonias,21,011,82070.0,Las Colonias,41.0,both
241,21,012,0.0,Nueve De Julio,21,012,82077.0,9 de Julio,12.0,both
252,21,013,0.0,Rosario,21,013,82084.0,Rosario,84.0,both
209,21,016,0.0,San Cristóbal,21,016,82091.0,San Cristóbal,34.0,both
207,21,017,0.0,San Javier,21,017,82098.0,San Javier,12.0,both
214,21,018,0.0,San Jerónimo,21,018,82105.0,San Jerónimo,23.0,both
210,21,019,0.0,San Justo,21,019,82112.0,San Justo,21.0,both
213,21,020,0.0,San Lorenzo,21,020,82119.0,San Lorenzo,16.0,both
215,21,021,0.0,San Martín,21,021,82126.0,San Martín,17.0,both
227,21,022,0.0,Vera,21,022,82133.0,Vera,22.0,both
483,22,003,0.0,Aguirre,22,003,86007.0,Aguirre,4.0,both
191,22,004,0.0,Alberdi,22,004,86014.0,Alberdi,6.0,both
198,22,005,0.0,Atamisqui,22,005,86021.0,Atamisqui,7.0,both
513,22,002,0.0,Avellaneda,22,002,86028.0,Avellaneda,9.0,both
190,22,006,0.0,Banda,22,006,86035.0,Banda,24.0,both
400,22,007,0.0,Belgrano,22,007,86042.0,Belgrano,4.0,both
228,22,001,0.0,Capital,22,001,86049.0,Capital,25.0,both
188,22,009,0.0,Choya,22,009,86063.0,Choya,13.0,both
185,22,008,0.0,Copo,22,008,86056.0,Copo,7.0,both
475,22,010,0.0,Figueroa,22,010,86070.0,Figueroa,11.0,both
231,22,011,0.0,Guasayán,22,011,86084.0,Guasayán,7.0,both
187,22,012,0.0,Jiménez,22,012,86091.0,Jiménez,10.0,both
456,22,014,0.0,Juan F. Ibarra,22,014,86098.0,Juan F. Ibarra,9.0,both
434,22,013,0.0,Loreto,22,013,86105.0,Loreto,12.0,both
230,22,015,0.0,Mitre,22,015,86112.0,Mitre,2.0,both
222,22,016,0.0,Moreno,22,016,86119.0,Moreno,13.0,both
226,22,017,0.0,Ojo De Agua,22,017,86126.0,Ojo de Agua,7.0,both
221,22,018,0.0,Pellegrini,22,018,86133.0,Pellegrini,11.0,both
506,22,019,0.0,Quebrachos,22,019,86140.0,Quebrachos,10.0,both
238,22,020,0.0,Rivadavia,22,020,86154.0,Rivadavia,4.0,both
217,22,021,0.0,Robles,22,021,86161.0,Robles,9.0,both
211,22,022,0.0,Río Hondo,22,022,86147.0,Río Hondo,15.0,both
444,22,025,0.0,Salavina,22,025,86168.0,Salavina,10.0,both
285,22,024,0.0,San Martín,22,024,86175.0,San Martín,8.0,both
493,22,026,0.0,Sarmiento,22,026,86182.0,Sarmiento,4.0,both
521,22,023,0.0,Silipica,22,023,86189.0,Silipica,5.0,both
216,22,027,0.0,Taboada,22,027,86077.0,General Taboada,7.0,both
246,23,007,15.0,Alberdi,23,007,90042.0,Juan Bautista Alberdi,5.0,both
255,23,013,14.0,Burruyacu,23,013,90007.0,Burruyacú,26.0,both
202,23,001,13.0,Capital,23,001,90084.0,Capital,47.0,both
218,23,005,15.0,Chicligasta,23,005,90021.0,Chicligasta,13.0,both
234,23,012,14.0,Cruz Alta,23,012,90014.0,Cruz Alta,32.0,both
224,23,003,15.0,Famaillá,23,003,90028.0,Famaillá,10.0,both
235,23,009,14.0,Graneros,23,009,90035.0,Graneros,8.0,both
229,23,008,15.0,La Cocha,23,008,90049.0,La Cocha,9.0,both
237,23,011,14.0,Leales,23,011,90056.0,Leales,20.0,both
206,23,002,15.0,Lules,23,002,90063.0,Lules,8.0,both
208,23,004,15.0,Monteros,23,004,90070.0,Monteros,19.0,both
233,23,006,15.0,Río Chico,23,006,90077.0,Río Chico,8.0,both
248,23,010,14.0,Simoca,23,010,90091.0,Simoca,20.0,both
436,23,017,15.0,Tafí Del Valle,23,017,90098.0,Tafí del Valle,5.0,both
249,23,016,15.0,Tafí Viejo,23,016,90105.0,Tafí Viejo,14.0,both
250,23,014,14.0,Trancas,23,014,90112.0,Trancas,15.0,both
247,23,015,15.0,Yerba Buena,23,015,90119.0,Yerba Buena,7.0,both
395,24,003,0.0,Antártida Argentina,,,,,,left_only
244,24,002,0.0,Río Grande,,,,,,left_only
531,24,005,0.0,Tolhuin,,,,,,left_only
236,24,001,0.0,Ushuaia,,,,,,left_only
532,,,,,04,000,14175.0,Tulumba,1.0,right_only
533,,,,,14,021,54021.0,Candelaria,7.0,right_only
534,,,,,14,028,54028.0,Capital,12.0,right_only
535,,,,,14,035,54035.0,Concepción,2.0,right_only
536,,,,,14,042,54042.0,Eldorado,5.0,right_only
537,,,,,14,049,54049.0,General Manuel Belgrano,3.0,right_only
538,,,,,14,056,54056.0,Guaraní,2.0,right_only
539,,,,,14,063,54063.0,Iguazú,4.0,right_only
540,,,,,14,070,54070.0,Leandro N. Alem,8.0,right_only
541,,,,,14,077,54077.0,Libertador General San Martín,6.0,right_only
542,,,,,14,084,54084.0,Montecarlo,3.0,right_only
543,,,,,14,091,54091.0,Oberá,9.0,right_only
544,,,,,14,098,54098.0,San Ignacio,8.0,right_only
545,,,,,14,105,54105.0,San Javier,4.0,right_only
546,,,,,14,112,54112.0,San Pedro,4.0,right_only
547,,,,,14,119,54119.0,25de Mayo,3.0,right_only
548,,,,,18,021,70021.0,Calingasta,4.0,right_only
549,,,,,18,028,70028.0,Capital,31.0,right_only
550,,,,,18,035,70035.0,Caucete,13.0,right_only
551,,,,,18,042,70042.0,Chimbas,6.0,right_only
552,,,,,18,049,70049.0,Iglesia,5.0,right_only
553,,,,,18,056,70056.0,Jachal,14.0,right_only
554,,,,,18,063,70063.0,9 de Julio,2.0,right_only
555,,,,,18,070,70070.0,Pocito,6.0,right_only
556,,,,,18,077,70077.0,Rawson,8.0,right_only
557,,,,,18,084,70084.0,Rivadavia,8.0,right_only
558,,,,,18,091,70091.0,San Martín,3.0,right_only
559,,,,,18,098,70098.0,Santa Lucía,7.0,right_only
560,,,,,18,105,70105.0,Sarmiento,11.0,right_only
561,,,,,18,112,70112.0,Ullum,2.0,right_only
562,,,,,18,119,70119.0,Valle Fértil,7.0,right_only
563,,,,,18,126,70126.0,25 de Mayo,4.0,right_only
564,,,,,18,133,70133.0,Zonda,1.0,right_only
565,,,,,24,01,94014.0,Ushuaia,13.0,right_only
566,,,,,24,02,94007.0,Río Grande,9.0,right_only
