,,slope,slope,slope,,VOTOS,,,,,ESTIMADO ZARATE,,,
,,FpV,Pro,Massa,,Propato,Caffaro,Bullrich,Larreta,,Propato,Caffaro,Bullrich,Larreta
circuito_id,mesa_id,,,,,,,,,,,,,
1014,69,253.9,317.6,253,,64,56,,,,16249.6,17785.6,,
1014,70,252.3,281.7,244.6,,,,,,,,,,
1014,71,233.8,310.8,204.6,,,,,,,,,,
1014,72,251,267.5,230.4,,58,24,,,,14558,6420,,
1014,73,226.9,316.2,243.2,,55,33,,,,12479.5,10434.6,,
1014,74,243.9,300.8,223.1,,61,21,,,,14877.9,6316.8,,
1014,75,225.6,303.3,224.7,,65,33,,,,14664,10008.9,,
1014,76,237.6,281.7,233,,,,,,,,,,
1014,77,268.6,340.2,233.8,,65,39,,,,17459,13267.8,,
1014,78,249.5,295.3,231.8,,,,,,,,,,
1014,79,258,264.3,249.6,,67,47,,,,17286,12422.1,,
1014,80,248.2,306.4,234.6,,66,40,,,,16381.2,12256,,
1014,81,250.2,273.4,233.7,,,,,,,,,,
1014,82,261.5,248.6,257.7,,60,52,,,,15690,12927.2,,
1014,83,231.3,260.7,248.6,,,,,,,,,,
1014,84,242,320.5,230.6,,,,,,,,,,
1014,85,229.9,319.7,238.5,,77,38,,,,17702.3,12148.6,,
1014,86,239.3,359.8,219.5,,45,33,,,,10768.5,11873.4,,
1014,87,227.5,316.6,224,,,,,,,,,,
1014,88,250.2,280.8,221,,,,,,,,,,
1014,89,233,307.5,231.4,,,,,,,,,,
1014,90,205.4,338,260.2,,,,,,,,,,
1014,91,209.6,357.6,251.3,,57,38,,,,11947.2,13588.8,,
1014,92,239.5,306.3,240.1,,64,48,,,,15328,14702.4,,
1014,93,250.9,241.5,242.9,,57,34,,,,14301.3,8211,,
1014,94,261.7,260.7,242.9,,32,41,,,,8374.4,10688.7,,
1014,95,250,247.1,236.1,,62,39,,,,15500,9636.9,,
1014,96,274.1,256.5,230.8,,,,,,,,,,
1014,97,203.3,365.1,234.5,,,,,,,,,,
1014,98,232.4,297.9,235.6,,,,,,,,,,
1014,99,219.8,269.9,253,,19,53,,,,4176.2,14304.7,,
1014,100,217.6,316.7,229.7,,53,55,,,,11532.8,17418.5,,
1014,101,208.6,341.1,210.9,,69,48,,,,14393.4,16372.8,,
