eleccion_id,agrupacion_nombre,lista_nombre,cargo_id,lista_votos,cluster,año,eleccion_tipo,recuento_tipo,padron_tipo,eleccion_tag,cargo_nombre,cargo_tag
6,ALIANZA FRENTE PARA LA VICTORIA,A LISTA CELESTE Y BLANCA K NESTOR KIRCHNER,9,23707,1,2015,PASO,PROVISORIO,NORMAL,PASO15n,Parlamentarios Mercosur Provinciales,MP
6,ALIANZA CAMBIEMOS,LISTA G EL CAMINO DEL CAMBIO,9,13149,2,2015,PASO,PROVISORIO,NORMAL,PASO15n,Parlamentarios Mercosur Provinciales,MP
6,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),A FRENTE RENOVADOR +A15,9,12171,3,2015,PASO,PROVISORIO,NORMAL,PASO15n,Parlamentarios Mercosur Provinciales,MP
6,ALIANZA FRENTE PARA LA VICTORIA,A LISTA CELESTE Y BLANCA K NESTOR KIRCHNER,8,24637,1,2015,PASO,PROVISORIO,NORMAL,PASO15n,Parlamentarios Mercosur Nacionales,MN
6,ALIANZA CAMBIEMOS,LISTA H CAMBIEMOS EL PAIS,8,14845,2,2015,PASO,PROVISORIO,NORMAL,PASO15n,Parlamentarios Mercosur Nacionales,MN
6,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),A FRENTE RENOVADOR +A15,8,12618,3,2015,PASO,PROVISORIO,NORMAL,PASO15n,Parlamentarios Mercosur Nacionales,MN
6,ALIANZA FRENTE PARA LA VICTORIA,A LISTA CELESTE Y BLANCA K NESTOR KIRCHNER,1,26253,1,2015,PASO,PROVISORIO,NORMAL,PASO15n,Presidente,PR
6,ALIANZA CAMBIEMOS,LISTA G EL CAMINO DEL CAMBIO,1,13595,2,2015,PASO,PROVISORIO,NORMAL,PASO15n,Presidente,PR
6,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),A FRENTE RENOVADOR +A15,1,13220,3,2015,PASO,PROVISORIO,NORMAL,PASO15n,Presidente,PR
14,FRENTE DE TODOS,CELESTE Y BLANCA - Alberto Fernández,1,38744,1,2019,PASO,PROVISORIO,NORMAL,PASO19n,Presidente,PR
14,JUNTOS POR EL CAMBIO,JUNTOS SOMOS EL CAMBIO - Mauricio Macri,1,20620,2,2019,PASO,PROVISORIO,NORMAL,PASO19n,Presidente,PR
5,ALIANZA FRENTE PARA LA VICTORIA,ALIANZA FRENTE PARA LA VICTORIA,10,13679,1,2015,GENERAL,PROVISORIO,NORMAL,GRAL15n,Concejales,CO
5,CAMBIEMOS BUENOS AIRES,CAMBIEMOS BUENOS AIRES,10,13700,2,2015,GENERAL,PROVISORIO,NORMAL,GRAL15n,Concejales,CO
5,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),10,9846,3,2015,GENERAL,PROVISORIO,NORMAL,GRAL15n,Concejales,CO
5,NUEVO ZARATE,NUEVO ZARATE,10,26530,3,2015,GENERAL,PROVISORIO,NORMAL,GRAL15n,Concejales,CO
16,FRENTE DE TODOS,CELESTE Y BLANCA 2,10,18253,1,2021,PASO,PROVISORIO,NORMAL,PASO21n,Concejales,CO
16,JUNTOS,B,10,11273,2,2021,PASO,PROVISORIO,NORMAL,PASO21n,Concejales,CO
10,UNIDAD CIUDADANA,CELESTE Y BLANCA U,2,28591,1,2017,PASO,PROVISORIO,NORMAL,PASO17n,Senador Nacional,SN
10,CAMBIEMOS BUENOS AIRES,CAMBIANDO JUNTOS,2,22804,2,2017,PASO,PROVISORIO,NORMAL,PASO17n,Senador Nacional,SN
10,1PAIS,UN PAIS UNIDO HOY Y SIEMPRE,2,11567,3,2017,PASO,PROVISORIO,NORMAL,PASO17n,Senador Nacional,SN
