año,eleccion_tipo,padron_tipo,distrito_nombre,cargo_nombre,agrupacion_nombre,votos_cantidad,fuerza
2011,GENERAL,NORMAL,Ciudad Autónoma De Buenos Aires,Presidente,Alianza Frente para la Victoria,653520,PERON
2011,GENERAL,NORMAL,Ciudad Autónoma De Buenos Aires,Presidente,Alianza Frente Amplio Progresista,518069,SOCIALISTA
2011,GENERAL,NORMAL,Ciudad Autónoma De Buenos Aires,Presidente,Alianza Frente Popular,191211,OTROS
2011,GENERAL,NORMAL,Corrientes,Diputado Nacional,Alianza Frente para la Victoria,291679,PERON
2011,GENERAL,NORMAL,Corrientes,Diputado Nacional,Alianza Unión para el Desarrollo Social,85200,UCR
2011,GENERAL,NORMAL,Corrientes,Diputado Nacional,Alianza Frente Popular,26291,OTROS
2011,GENERAL,NORMAL,Corrientes,Presidente,Alianza Frente para la Victoria,339420,PERON
2011,GENERAL,NORMAL,Corrientes,Presidente,Alianza Frente Amplio Progresista,35926,SOCIALISTA
2011,GENERAL,NORMAL,Corrientes,Presidente,Alianza Unión para el Desarrollo Social,64359,UCR
2011,GENERAL,NORMAL,Córdoba,Diputado Nacional,Alianza Frente para la Victoria,626631,PERON
2011,GENERAL,NORMAL,Córdoba,Diputado Nacional,Alianza Frente Amplio Progresista,362663,SOCIALISTA
2011,GENERAL,NORMAL,Córdoba,Diputado Nacional,Unión Cívica Radical,360857,UCR
2011,GENERAL,NORMAL,Córdoba,Presidente,Alianza Frente para la Victoria,682234,PERON
2011,GENERAL,NORMAL,Córdoba,Presidente,Alianza Frente Amplio Progresista,427669,SOCIALISTA
2011,GENERAL,NORMAL,Córdoba,Presidente,Alianza Unión para el Desarrollo Social,328339,UCR
2011,GENERAL,NORMAL,Entre Ríos,Diputado Nacional,Unión Cívica Radical,101815,UCR
2011,GENERAL,NORMAL,Entre Ríos,Diputado Nacional,Alianza Frente Justicialista para la Victoria,330255,PERON
2011,GENERAL,NORMAL,Entre Ríos,Diputado Nacional,Partido Socialista,43469,OTROS
2011,GENERAL,NORMAL,Entre Ríos,Presidente,Alianza Frente para la Victoria,356040,PERON
2011,GENERAL,NORMAL,Entre Ríos,Presidente,Alianza Frente Amplio Progresista,133525,SOCIALISTA
2011,GENERAL,NORMAL,Entre Ríos,Presidente,Alianza Unión para el Desarrollo Social,94191,UCR
2011,GENERAL,NORMAL,Formosa,Diputado Nacional,Alianza Frente para la Victoria,160679,PERON
2011,GENERAL,NORMAL,Formosa,Diputado Nacional,Unión Cívica Radical,40824,UCR
2011,GENERAL,NORMAL,Formosa,Diputado Nacional,Fortaleza,2015,OTROS
