in1_prov,in1_dpto,eleccion_tag,cargo_tag,fuerza,votos_cantidad,votos_porcentaje
2,2007,PASO19n,DN,NO POSITIVOS,6489,0.05328679942516937
2,2007,PASO19n,DN,OTROS,15207,0.1248778484910696
2,2007,PASO19n,DN,PERON,39693,0.3259536029562718
2,2007,PASO19n,DN,PRO,54235,0.4453705604598645
2,2007,PASO19n,DP,IZQUIERDA,5871,0.047885485910036295
2,2007,PASO19n,DP,NO POSITIVOS,8005,0.06529097508258228
2,2007,PASO19n,DP,OTROS,13483,0.10997104522654051
2,2007,PASO19n,DP,PERON,40343,0.329048570612944
2,2007,PASO19n,DP,PRO,54903,0.4478039231678969
2,2007,PASO19n,GB,IZQUIERDA,5520,0.045085515461391446
2,2007,PASO19n,GB,NO POSITIVOS,11090,0.09057941421500564
2,2007,PASO19n,GB,OTROS,8557,0.06989071663100119
2,2007,PASO19n,GB,PERON,40885,0.33393501805054154
2,2007,PASO19n,GB,PRO,56382,0.4605093356420602
2,2007,PASO19n,PR,IZQUIERDA,5554,0.04551190651785568
2,2007,PASO19n,PR,NO POSITIVOS,4760,0.03900552305095301
2,2007,PASO19n,PR,OTROS,14853,0.12171198190668174
2,2007,PASO19n,PR,PERON,42299,0.3466165167084583
2,2007,PASO19n,PR,PRO,54568,0.44715407181605127
2,2007,PASO19n,SN,IZQUIERDA,5638,0.04628329844436235
2,2007,PASO19n,SN,NO POSITIVOS,6201,0.05090506095308459
2,2007,PASO19n,SN,OTROS,14952,0.12274350449452037
2,2007,PASO19n,SN,PERON,40482,0.332323605467307
2,2007,PASO19n,SN,PRO,54542,0.44774453064072567
2,2007,PASO21c,DN,NO POSITIVOS,0,
2,2007,PASO21c,DP,NO POSITIVOS,0,
2,2007,PASO21n,DN,IZQUIERDA,6751,0.06087246627714059
2,2007,PASO21n,DN,NO POSITIVOS,3355,0.030251388588328643
2,2007,PASO21n,DN,OTROS,21072,0.1900021640337589
2,2007,PASO21n,DN,PERON,28116,0.2535165548582558
2,2007,PASO21n,DN,PRO,51610,0.465357426242516
2,2007,PASO21n,DP,IZQUIERDA,7454,0.062397455215134776
2,2007,PASO21n,DP,NO POSITIVOS,4884,0.04088397790055249
2,2007,PASO21n,DP,OTROS,21623,0.18100619454210615
2,2007,PASO21n,DP,PERON,30334,0.25392600033484014
2,2007,PASO21n,DP,PRO,55165,0.4617863720073665
2,2014,BLTG15n,PR,NO POSITIVOS,3285,0.029642663779101245
2,2014,BLTG15n,PR,PERON,21998,0.19850207543764664
2,2014,BLTG15n,PR,PRO,85537,0.7718552607832522
2,2014,GRAL11n,DN,IZQUIERDA,4073,0.03728078204517995
2,2014,GRAL11n,DN,NO POSITIVOS,2449,0.022416065609782886
2,2014,GRAL11n,DN,OTROS,22560,0.20649507560502325
2,2014,GRAL11n,DN,PERON,18547,0.16976348259070773
2,2014,GRAL11n,DN,PRO,34573,0.31645187273459524
2,2014,GRAL11n,DN,PROVINCIAL,3984,0.036466151649397725
2,2014,GRAL11n,DN,SOCIALISTA,15591,0.14270676967012044
2,2014,GRAL11n,DN,UCR,7475,0.06841980009519276
2,2014,GRAL11n,PR,IZQUIERDA,2386,0.021825033844352568
2,2014,GRAL11n,PR,NO POSITIVOS,2908,0.026599831692949397
2,2014,GRAL11n,PR,OTROS,25354,0.23191613918261314
2,2014,GRAL11n,PR,PERON,22982,0.21021916505067506
2,2014,GRAL11n,PR,PROVINCIAL,11244,0.10285024331345359
2,2014,GRAL11n,PR,SOCIALISTA,32784,0.2998792579854378
2,2014,GRAL11n,PR,UCR,11666,0.10671032893051846
2,2014,GRAL13n,DN,IZQUIERDA,3882,0.036099203064991585
2,2014,GRAL13n,DN,NO POSITIVOS,5216,0.04850423575141579
2,2014,GRAL13n,DN,OTROS,43484,0.40436314942763885
2,2014,GRAL13n,DN,PERON,12400,0.1153091494090406
2,2014,GRAL13n,DN,PRO,42555,0.39572426234691316
2,2014,GRAL13n,SN,IZQUIERDA,2989,0.02775920353653553
2,2014,GRAL13n,SN,NO POSITIVOS,4846,0.04500538652996025
2,2014,GRAL13n,SN,OTROS,36407,0.3381162004532115
2,2014,GRAL13n,SN,PERON,13906,0.12914669935733125
2,2014,GRAL13n,SN,PRO,49528,0.4599725101229615
2,2014,GRAL15n,DN,IZQUIERDA,3858,0.03555236094216521
2,2014,GRAL15n,DN,MASSA,9022,0.0831398134837259
2,2014,GRAL15n,DN,NO POSITIVOS,2054,0.018928084337793506
2,2014,GRAL15n,DN,OTROS,11539,0.10633454974381658
2,2014,GRAL15n,DN,PERON,13686,0.12611965055844299
2,2014,GRAL15n,DN,PRO,68357,0.6299255409340558
2,2014,GRAL15n,MN,IZQUIERDA,3754,0.03454972159587686
2,2014,GRAL15n,MN,MASSA,9133,0.0840550365836823
2,2014,GRAL15n,MN,NO POSITIVOS,3147,0.028963232248861073
2,2014,GRAL15n,MN,OTROS,7648,0.07038792508398141
2,2014,GRAL15n,MN,PERON,14333,0.13191293543785376
2,2014,GRAL15n,MN,PRO,70149,0.6456122589848603
2,2014,GRAL15n,MN,PROVINCIAL,491,0.004518890064884267
2,2014,GRAL15n,MP,IZQUIERDA,3903,0.03597798733442106
2,2014,GRAL15n,MP,MASSA,9256,0.0853221242037923
2,2014,GRAL15n,MP,NO POSITIVOS,3228,0.029755814275047702
2,2014,GRAL15n,MP,OTROS,10416,0.09601504383175244
2,2014,GRAL15n,MP,PERON,13665,0.12596443682420286
2,2014,GRAL15n,MP,PRO,68015,0.6269645935307836
2,2014,GRAL15n,PR,IZQUIERDA,2843,0.02619431519786244
2,2014,GRAL15n,PR,MASSA,9345,0.08610125765881974
2,2014,GRAL15n,PR,NO POSITIVOS,1228,0.011314322568756622
2,2014,GRAL15n,PR,OTROS,4862,0.04479660938867647
2,2014,GRAL15n,PR,PERON,15324,0.14118947804855578
2,2014,GRAL15n,PR,PRO,74463,0.6860736168056387
2,2014,GRAL15n,PR,PROVINCIAL,470,0.0043304003316902385
2,2014,GRAL17c,DN,NO POSITIVOS,0,
2,2014,GRAL17c,DP,NO POSITIVOS,0,
2,2014,GRAL17n,DN,IZQUIERDA,4091,0.03890003518213889
2,2014,GRAL17n,DN,NO POSITIVOS,1469,0.013968260005515038
2,2014,GRAL17n,DN,OTROS,16503,0.1569218481082469
2,2014,GRAL17n,DN,PERON,12605,0.11985698935978016
2,2014,GRAL17n,DN,PRO,70499,0.670352867344319
2,2014,GRAL17n,DP,IZQUIERDA,9066,0.05311912253256227
2,2014,GRAL17n,DP,NO POSITIVOS,6522,0.03821342567365664
2,2014,GRAL17n,DP,OTROS,62699,0.3673633205017783
2,2014,GRAL17n,DP,PERON,22653,0.13272749644056178
2,2014,GRAL17n,DP,PRO,69733,0.4085766348514411
2,2014,GRAL19n,CO,IZQUIERDA,3425,0.031010348855106975
2,2014,GRAL19n,CO,NO POSITIVOS,4940,0.04472733528298641
2,2014,GRAL19n,CO,OTROS,3993,0.03615308700100501
2,2014,GRAL19n,CO,PERON,20710,0.18751075176328919
2,2014,GRAL19n,CO,PRO,77379,0.7005984770976125
2,2014,GRAL19n,DN,IZQUIERDA,4780,0.04337331905703864
2,2014,GRAL19n,DN,NO POSITIVOS,2751,0.024962343248099015
2,2014,GRAL19n,DN,OTROS,7092,0.06435221312814185
2,2014,GRAL19n,DN,PERON,19623,0.1780574560368764
2,2014,GRAL19n,DN,PRO,75960,0.6892546685298441
2,2014,GRAL19n,DP,IZQUIERDA,3437,0.031143248067705076
2,2014,GRAL19n,DP,NO POSITIVOS,3438,0.03115230923967706
2,2014,GRAL19n,DP,OTROS,5636,0.05106876523409538
2,2014,GRAL19n,DP,PERON,20726,0.18780185029131669
2,2014,GRAL19n,DP,PRO,77124,0.6988338271672058
2,2014,GRAL19n,GB,IZQUIERDA,2631,0.02384599349242747
