agrupacion_nombre,votos_cantidad,fuerza
JUNTOS SOMOS RIO NEGRO,430374,PROVINCIAL
COMPROMISO FEDERAL,418980,PROVINCIAL
FRENTE JUSTICIALISTA SOMOS ENTRE RIOS,404853,PERON
FRENTE JUSTICIALISTA PARA LA VICTORIA,382777,PERON
FRENTE ACUERDO CIVICO Y SOCIAL,378900,SOCIALISTA
FRENTE AMPLIO FORMOSEÑO CAMBIEMOS,366414,PRO
ENCUENTRO POR CORRIENTES,340956,PRO
FRENTE CHACO MERECE MAS,336326,PERON
UNIDAD PORTEÑA,330272,PERON
UNION PRO SANTA FE FEDERAL,328362,PRO
FRENTE JUSTICIALISTA RIOJANO,294068,PERON
UNION PARA VIVIR MEJOR,286252,PRO
FRENTE SOMOS MENDOZA,284709,PERON
ENCUENTRO POR CORRIENTES - ECO + JUNTOS POR EL CAMBIO,270265,PRO
Alianza Frente Cívico por Santiago,268756,PROVINCIAL
ALIANZA FRENTE POPULAR,260098,OTROS
JUNTOS POR ENTRE RÍOS,259609,PRO
HACEMOS POR CÓRDOBA,254429,PROVINCIAL
CAMBIEMOS - FUERZA CIVICA RIOJANA,249181,PRO
FRENTE JUJEÑO,210888,OTROS
UNIDOS POR LA LIBERTAD Y EL TRABAJO,209079,OTROS
ALIANZA UNION POR ENTRE RIOS,208779,PRO
ALIANZA FRENTE AMPLIO FORMOSEÑO,206976,PRO
UNION PARA VIVIR MEJOR - CAMBIEMOS,203166,PRO
CAMBIEMOS PAIS,200410,PRO
Nuevo Encuentro,199706,OTROS
CAMBIEMOS SAN JUAN,197907,PRO
UNION POPULAR,193342,OTROS
FRENTE CIVICO Y SOCIAL - CAMBIEMOS,190551,PRO
Alianza Frente Popular,189544,OTROS
Unión Cívica Radical,181078,UCR
PARTIDO JUSTICIALISTA,174075,PERON
PROPUESTA FREPAM,173967,OTROS
JUNTOS POR EL CAMBIO JXC,173839,PRO
ALIANZA FRENTE MARPLATENSE,172512,OTROS
CAMBIA JUJUY,154932,PRO
FRENTE CIVICO Y SOCIAL,153260,SOCIALISTA
UNION CON FE,151858,OTROS
FRENTE AMPLIO FORMOSEÑO,149948,PRO
PARTIDO DE ACCION CHUBUTENSE,148838,OTROS
FENTE CAMBIA JUJUY,143581,PRO
Frente para la Victoria Santacruceña,141136,PERON
FRENTE POPULAR SALTEÑO,140043,OTROS
FRENTE POPULAR DEMOCRATICO Y SOCIAL (PODEMOS),133652,OTROS
ALIANZA CAMBIEMOS RIO NEGRO,131410,PRO
JUSTICIALISTA,130462,PERON
CAMBIEMOS SALTA,130016,PRO
JUNTOS PODEMOS MAS,128280,PRO
CONSENSO FEDERAL,127773,
AGRARIO Y SOCIAL,124721,OTROS
Frente Progresista Civ. y Soc.,124262,SOCIALISTA
Frente Social de la Pcia. Bs.As.,118715,SOCIALISTA
CAMBIEMOS POR SAN JUAN,115381,PRO
UNIDOS POR SAN LUIS,114862,
CAMBIEMOS RIO NEGRO,114362,PRO
FRENTE CHUBUT PARA TODOS,113364,PERON
FRENTE CAMBIEMOS LA PAMPA,112589,PRO
NUEVO ENCUENTRO,111375,OTROS
Alianza PRO - Propuesta Republicana,102256,PRO
CAMBIEMOS CHUBUT,102195,PRO
ALIANZA FRENTE PROGRESISTA,100180,SOCIALISTA
FRENTE CIUDADANO PARA LA VICTORIA,98945,PERON
CHACO CAMBIA + JUNTOS POR EL CAMBIO,96075,PRO
SALTA SOMOS TODOS,95156,PROVINCIAL
PARTIDO OBRERO,94627,IZQUIERDA
JUNTOS POR EL CAMBIO CHUBUT,94278,PRO
Acción Marplatense,93041,OTROS
Frente Entrerriano Federal,90137,
FRENTE POPULAR,88313,
HACEMOS POR CORDOBA,87103,PROVINCIAL
Partido Humanista,84293,
JUNTOS POR LA RIOJA,84126,PRO
FRENTE UNIDAD Y RENOVACION,82888,
FUERZA CIVICA RIOJANA,81133,
FUERZA SAN LUIS,77039,
FRENTE PAMPEANO CIVICO Y SOCIAL - FREPAM,74305,SOCIALISTA
Alianza Frente para la Victoria Riojana,73582,PERON
ALIANZA PROGRESISTAS,73147,
FRENTE PARA LA VICTORIA SANTACRUCEÑA,68294,PERON
INTRANSIGENTE,67794,
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,67625,IZQUIERDA
FRENTE AMPLIO FORMOSEÑO JUNTOS POR EL CAMBIO,66205,PRO
ALIANZA CAMBIEMOS CHUBUT,65505,PRO
ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA,63462,MASSA
Alianza Frente Popular Riojano,61896,
"Unión, Producción y Trabajo",59688,
Movimiento Popular Neuquino,58996,
FRENTE CIVICO Y SOCIAL 2013,57675,SOCIALISTA
Unión Para Vivir Mejor,57524,
JUNTOS POR FORMOSA LIBRE,52490,PRO
Alianza Frente Cívico Federal - UDESO Mendoza,51291,
FRENTE NEUQUINO,50851,
HUMANISTA,46790,
FRENTE RENOVADOR 1PAIS,44694,MASSA
JUNTOS POR SAN JUAN,44393,PRO
FRENTE PARA LA VICTORIA RIOJANA,43677,PERON
NUEVO ZARATE,41679,
FUERZA REPUBLICANA,38667,
Partido Auténtico de los Cristianos de la Pcia. de Bs.As.,38215,
PARTIDO POPULAR,37256,
Alianza Frente Primero Jujuy,36023,
PROYECTO POPULAR,34299,
Alianza Frente Pampeano Cívico y Social (FREPAM),33754,SOCIALISTA
ACCION POR VILLARINO,32980,
Nuevo Zarate,31750,
ALIANZA PRO PROPUESTA REPUBLICANA,30984,
Fza. Organizada Renovadora Democrática,29858,
UNIDAD CIUDADANA PARA LA VICTORIA,29547,PERON
MOVIMIENTO VECINAL DEL PARTIDO DE TRES ARROYOS,29475,
MOVIMIENTO VECINAL DE TRES ARROYOS-MV,29402,
ALIANZA UNION PARA VIVIR MEJOR,27635,PRO
PROYECTO AGRARIO Y SOCIAL PAYS,27529,OTROS
FRENTE POPULAR RIOJANO,26012,
Coalición Cívica - Afirmación para una República Igualitaria ARI,24516,
FRENTE UNIDOS,23530,
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,22931,IZQUIERDA
CONVOCACIÓN CÍVICA CAMBIA SAN ISIDRO,21841,
ALIANZA UNION PARA EL DESARROLLO SOCIAL,21119,
CONVOCACIÓN CÍVICA - CAMBIA SAN ISIDRO,20383,
FRENTE PROPUESTA FEDERAL,18200,
ALIANZA FRENTE PROGRESISTA CIVICO Y SOCIAL,17748,SOCIALISTA
MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES,17451,IZQUIERDA
CAMBIA NEUQUÉN,16811,PRO
INDEPENDIENTE DEL CHUBUT,16204,
FRENTE ESTAMOS CON VOS,15950,
FRENTE VAMOS CON VOS,15611,
PARTIDO DE LA VICTORIA,15591,
FRENTE CIUDADANO Y SOCIAL,15060,OTROS
Movimiento Vecinal del Pdo. Tres Arroyos,14676,
ACCION MARPLATENSE-AM,14248,
UNION POR SALTA,14116,PRO
MOVIMIENTO VECINAL,14111,
Integración Vecinalista Rosaleña,12206,
FRENTE TERCERA POSICION (F3P) UNIDAD CATAMARQUEÑA,11879,
COMPROMISO CIVICO NEUQUINO,11842,
Movimiento para la Victoria,11705,
CAMBIEMOS TIERRA DEL FUEGO,11510,PRO
FRENTE PATRIOTICO LABORISTA,11447,
PARTIDO RENOVADOR DE SALTA,11324,MASSA
COMPROMISO PRINGLES,11284,
FRENTE JUNTOS POR EL CAMBIO,10680,PRO
NUEVA IZQUIERDA,10666,IZQUIERDA
INTEGRACION CIUDADANA,10024,
Alianza Frente Cívico y Social,9475,SOCIALISTA
Partido Independiente de Chubut,9266,
UNION VECINAL DE ADOLFO GONZALES CHAVES,8977,
CON VOCACION POR SAN ISIDRO,8758,
Todos por San Juan,8108,
FRENTE AMPLIO PROGRESISTA,8091,
Frente Unidos por San Luis,7664,
NUEVA ALTERNATIVA CARMEÑA,6993,
BANDERA VECINAL,6895,
